stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
47,4E,Okulickiego / Zwierzyniecka 03 nż,,50.0519034863485,21.9886207580566,,,
48,2E,Okulickiego centrum handlowe 01,,50.0485811921969,21.9865393638611,,,
760,9D,Dworaka targ 01,,50.04213,22.02035,,,
101,160A,Hermanowa Przylasek pętla 05,,49.9320247505404,21.9939717650414,,,
545,158A,Hermanowa Przylasek źródełko 03 nż,,49.9327308949822,21.9894415140152,,,
546,148A,Hermanowa Przylasek 01 nż,,49.9352998613018,21.9812420010567,,,
547,156A,Podleśna / Jarzębinowa 07 nż,,49.9381138271764,21.9798123836517,,,
548,172A,Podleśna / Nadziei 05 nż,,49.9475178408581,21.9814136624336,,,
549,154A,Podleśna / Laskowa 03 nż,,49.95149,21.98221,,,
550,152A,Podleśna / Podlesie 01 nż,,49.957180589056,21.9829934835434,,,
284,128A,Poselska / Podleśna 02 nż,,49.9646605957801,21.983637213707,,,
551,146A,Poselska / Budziwojska 04 nż,,49.963506317637,21.9759070873261,,,
552,102A,Budziwojska / Jana Pawła II 07 nż,,49.96617,21.99519,,,
553,104A,Budziwojska / Karmelicka 05 nż,,49.9661495564502,22.0025776326656,,,
1087,221A,Budziwojska / Tarnopolska 03 nż,,49.9661732793789,22.0068376511335,,,
554,106A,Budziwojska / Legionistów 01 nż,,49.9661737107048,22.0130395889282,,,
555,132A,Tyczyn Orkana stawy 14 nż,,49.9663272624687,22.023089826107,,,
556,108A,Tyczyn Orkana skrzyżowanie 16,,49.9670294536189,22.0273572206497,,,
124,83A,Rejtana / Armii Krajowej 12,,50.0195456844373,22.0174598693848,,,
125,85A,Rejtana / Paderewskiego 10,,50.0226528555673,22.0172801613808,,,
9,153A,Rejtana / Krzyżanowskiego 08,,50.0251549903902,22.0172050595284,,,
10,87A,Rejtana uniwersytet 06,,50.0302794795185,22.0171058177948,,,
11,89A,Rejtana cmentarz 04 nż,,50.0330896178406,22.0169904828072,,,
